Latitude (decimal degrees):	51.339
Longitude (decimal degrees):	-1.262
Elevation (m):	98
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 15 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050217:1110,412.93,163.55,24.95,4.07,1.38,0.0
20050217:1210,281.54,117.3,26.65,4.62,1.52,0.0
20050217:1310,123.07,59.6,25.69,5.33,2.14,0.0
20050217:1410,86.05,45.41,22.21,5.64,2.41,0.0
20050217:1510,48.74,30.27,16.59,5.84,2.55,0.0
20050217:1610,44.29,28.38,9.36,5.88,2.34,0.0
20050217:1710,0.0,3.62,1.01,5.63,2.34,0.0
20050217:1810,0.0,0.0,0.0,5.37,2.34,0.0
20050217:1910,0.0,0.0,0.0,5.55,2.28,0.0
20050217:2010,0.0,0.0,0.0,5.46,2.28,0.0
20050217:2110,0.0,0.0,0.0,5.23,2.21,0.0
20050217:2210,0.0,0.0,0.0,5.06,2.34,0.0
20050217:2310,0.0,0.0,0.0,4.97,2.48,0.0
20050218:0010,0.0,0.0,0.0,4.53,2.34,0.0
20050218:0110,0.0,0.0,0.0,4.05,2.21,0.0
20050218:0210,0.0,0.0,0.0,3.92,2.21,0.0
20050218:0310,0.0,0.0,0.0,3.78,2.41,0.0
20050218:0410,0.0,0.0,0.0,3.61,2.41,0.0
20050218:0510,0.0,0.0,0.0,3.36,2.41,0.0
20050218:0610,0.0,0.0,0.0,2.93,2.48,0.0
20050218:0710,0.0,0.0,0.0,2.48,2.14,0.0
20050218:0810,60.38,36.38,7.4,2.29,2.14,0.0
20050218:0910,386.56,154.69,15.01,3.48,2.21,0.0
20050218:1010,314.98,128.96,21.15,5.03,2.83,0.0
20050218:1110,285.66,119.19,25.3,6.37,3.86,0.0
20050218:1210,2070.43,791.87,27.0,7.16,4.21,0.0
20050218:1310,2209.09,851.21,26.04,7.55,4.48,0.0
20050218:1410,415.52,165.8,22.54,7.97,5.24,0.0
20050218:1510,90.02,47.3,16.9,7.93,5.59,0.0
20050218:1610,121.57,59.43,9.65,7.58,4.9,0.0
20050218:1710,0.9,6.34,1.29,7.36,5.79,0.0
20050218:1810,0.0,0.0,0.0,6.53,5.03,0.0
20050218:1910,0.0,0.0,0.0,5.79,5.17,0.0
20050218:2010,0.0,0.0,0.0,4.83,5.17,0.0
20050218:2110,0.0,0.0,0.0,4.07,5.31,0.0
20050218:2210,0.0,0.0,0.0,3.43,5.59,0.0
20050218:2310,0.0,0.0,0.0,2.97,5.66,0.0
20050219:0010,0.0,0.0,0.0,2.61,5.72,0.0
20050219:0110,0.0,0.0,0.0,2.37,5.72,0.0
20050219:0210,0.0,0.0,0.0,2.11,5.52,0.0
20050219:0310,0.0,0.0,0.0,2.02,5.31,0.0
20050219:0410,0.0,0.0,0.0,1.7,5.03,0.0
20050219:0510,0.0,0.0,0.0,1.46,4.76,0.0
20050219:0610,0.0,0.0,0.0,1.09,4.55,0.0
20050219:0710,0.0,0.0,0.0,1.1,4.34,0.0
20050219:0810,103.46,55.44,7.7,1.12,4.34,0.0
20050219:0910,817.82,307.47,15.33,2.0,4.0,0.0
20050219:1010,1404.03,511.71,21.49,2.95,5.03,0.0
20050219:1110,1807.65,664.96,25.65,3.68,5.24,0.0
20050219:1210,2210.82,830.38,27.35,4.3,5.24,0.0
20050219:1310,2113.92,788.53,26.38,4.86,5.93,0.0
20050219:1410,1508.38,551.72,22.87,4.79,6.0,0.0
20050219:1510,1723.07,633.67,17.21,4.66,6.07,0.0
20050219:1610,1259.97,466.19,9.94,4.18,5.45,0.0
20050219:1710,27.71,20.81,1.56,3.38,4.62,0.0
20050219:1810,0.0,0.0,0.0,2.45,4.62,0.0
20050219:1910,0.0,0.0,0.0,1.84,3.86,0.0
20050219:2010,0.0,0.0,0.0,1.43,3.86,0.0
20050219:2110,0.0,0.0,0.0,0.75,3.72,0.0
20050219:2210,0.0,0.0,0.0,-0.1,3.66,0.0
20050219:2310,0.0,0.0,0.0,-0.75,3.66,0.0
20050220:0010,0.0,0.0,0.0,-1.23,3.86,0.0
20050220:0110,0.0,0.0,0.0,-1.55,4.07,0.0
20050220:0210,0.0,0.0,0.0,-1.74,4.28,0.0
20050220:0310,0.0,0.0,0.0,-1.91,4.48,0.0
20050220:0410,0.0,0.0,0.0,-2.06,4.69,0.0
20050220:0510,0.0,0.0,0.0,-2.17,4.83,0.0
20050220:0610,0.0,0.0,0.0,-2.12,5.03,0.0
20050220:0710,0.0,0.0,0.0,-2.17,4.9,0.0
20050220:0810,126.08,64.22,8.01,-1.82,5.1,0.0
20050220:0910,813.28,300.72,15.65,-0.79,4.97,0.0
20050220:1010,788.03,287.02,21.83,0.4,5.79,0.0
20050220:1110,1251.14,449.64,26.0,1.56,6.21,0.0
20050220:1210,1123.94,405.77,27.71,2.77,7.31,0.0
20050220:1310,578.85,218.81,26.74,3.68,7.1,0.0
20050220:1410,99.23,50.14,23.2,4.05,6.55,0.0
20050220:1510,121.79,58.65,17.53,3.91,6.21,0.0
20050220:1610,195.46,85.46,10.24,3.48,5.45,0.0
20050220:1710,17.82,16.08,1.84,2.79,5.31,0.0
20050220:1810,0.0,0.0,0.0,1.95,5.24,0.0
20050220:1910,0.0,0.0,0.0,1.11,4.97,0.0
20050220:2010,0.0,0.0,0.0,0.76,5.17,0.0
20050220:2110,0.0,0.0,0.0,0.47,5.1,0.0
20050220:2210,0.0,0.0,0.0,0.08,4.97,0.0
20050220:2310,0.0,0.0,0.0,0.08,5.03,0.0
20050221:0010,0.0,0.0,0.0,0.1,5.1,0.0
20050221:0110,0.0,0.0,0.0,0.08,5.24,0.0
20050221:0210,0.0,0.0,0.0,0.15,5.31,0.0
20050221:0310,0.0,0.0,0.0,0.16,5.24,0.0
20050221:0410,0.0,0.0,0.0,0.12,5.24,0.0
20050221:0510,0.0,0.0,0.0,0.12,5.17,0.0
20050221:0610,0.0,0.0,0.0,0.06,4.97,0.0
20050221:0710,0.0,0.0,0.0,-0.3,4.28,0.0
20050221:0810,97.95,51.58,8.32,0.03,3.93,0.0
20050221:0910,121.15,57.7,15.98,0.7,5.72,0.0
20050221:1010,71.01,38.79,22.17,1.57,5.79,0.0
20050221:1110,289.38,118.25,26.36,2.07,5.1,0.0
20050221:1210,142.91,66.22,28.07,2.62,4.83,0.0
20050221:1310,812.77,300.44,27.09,3.06,4.48,0.0
20050221:1410,309.06,125.82,23.54,3.06,4.0,0.0
20050221:1510,106.85,52.97,17.84,3.44,3.93,0.0
20050221:1610,888.22,330.58,10.53,3.32,3.52,0.0
20050221:1710,15.97,15.14,2.12,2.54,3.31,0.0
20050221:1810,0.0,0.0,0.0,1.4,3.66,0.0
20050221:1910,0.0,0.0,0.0,0.39,3.79,0.0
20050221:2010,0.0,0.0,0.0,-0.1,4.14,0.0
20050221:2110,0.0,0.0,0.0,-0.19,4.34,0.0
20050221:2210,0.0,0.0,0.0,-0.32,4.41,0.0
20050221:2310,0.0,0.0,0.0,-0.2,4.48,0.0
20050222:0010,0.0,0.0,0.0,-0.54,4.41,0.0
20050222:0110,0.0,0.0,0.0,-0.29,4.55,0.0
20050222:0210,0.0,0.0,0.0,-0.26,4.48,0.0
20050222:0310,0.0,0.0,0.0,-0.49,4.28,0.0
20050222:0410,0.0,0.0,0.0,-0.7,4.14,0.0
20050222:0510,0.0,0.0,0.0,-0.92,4.28,0.0
20050222:0610,0.0,0.0,0.0,-0.93,4.62,0.0
20050222:0710,0.0,0.0,0.0,-0.31,5.1,0.0
20050222:0810,74.88,41.2,8.64,0.02,5.31,0.0
20050222:0910,139.14,64.33,16.31,0.9,6.76,0.0
20050222:1010,376.22,147.53,22.52,1.5,7.17,0.0
20050222:1110,555.23,209.28,26.72,2.42,7.72,0.0
20050222:1210,72.9,39.73,28.44,3.02,6.83,0.0
20050222:1310,2387.97,888.71,27.44,3.73,6.97,0.0
20050222:1410,1663.14,606.13,23.87,3.81,6.41,0.0
20050222:1510,79.84,42.57,18.15,3.64,5.93,0.0
20050222:1610,129.86,61.49,10.82,3.17,6.28,0.0
20050222:1710,172.22,80.74,2.39,2.18,5.93,0.0
20050222:1810,0.0,0.0,0.0,1.22,4.83,0.0
20050222:1910,0.0,0.0,0.0,0.32,4.34,0.0
20050222:2010,0.0,0.0,0.0,-0.2,4.28,0.0
20050222:2110,0.0,0.0,0.0,-0.61,4.34,0.0
20050222:2210,0.0,0.0,0.0,-0.79,4.34,0.0
20050222:2310,0.0,0.0,0.0,-1.23,4.21,0.0
20050223:0010,0.0,0.0,0.0,-1.49,4.07,0.0
20050223:0110,0.0,0.0,0.0,-1.65,3.93,0.0
20050223:0210,0.0,0.0,0.0,-2.0,3.79,0.0
20050223:0310,0.0,0.0,0.0,-2.24,3.86,0.0
20050223:0410,0.0,0.0,0.0,-2.42,3.93,0.0
20050223:0510,0.0,0.0,0.0,-2.54,3.93,0.0
20050223:0610,0.0,0.0,0.0,-2.63,3.93,0.0
20050223:0710,0.0,0.0,0.0,-1.21,4.21,0.0
20050223:0810,92.64,48.35,8.96,-1.04,3.93,0.0
20050223:0910,585.25,220.08,16.65,-0.1,5.52,0.0
20050223:1010,784.96,286.73,22.87,0.83,5.52,0.0
20050223:1110,553.38,208.95,27.08,1.78,5.31,0.0
20050223:1210,75.49,40.68,28.8,2.44,5.38,0.0
20050223:1310,1373.79,499.52,27.8,2.68,5.1,0.0
20050223:1410,655.14,245.42,24.21,3.25,4.76,0.0
20050223:1510,362.53,144.18,18.47,3.3,4.69,0.0
20050223:1610,251.81,105.32,11.12,2.94,4.62,0.0
20050223:1710,0.0,4.73,2.67,1.94,4.28,0.0
20050223:1810,0.0,0.0,0.0,1.1,4.41,0.0
20050223:1910,0.0,0.0,0.0,0.18,4.34,0.0
20050223:2010,0.0,0.0,0.0,-0.49,4.41,0.0
20050223:2110,0.0,0.0,0.0,-0.98,4.41,0.0
20050223:2210,0.0,0.0,0.0,-1.22,4.41,0.0
20050223:2310,0.0,0.0,0.0,-1.32,4.28,0.0
20050224:0010,0.0,0.0,0.0,-1.04,4.34,0.0
20050224:0110,0.0,0.0,0.0,-0.64,4.34,0.0
20050224:0210,0.0,0.0,0.0,-0.28,4.21,0.0
20050224:0310,0.0,0.0,0.0,-0.14,4.14,0.0
20050224:0410,0.0,0.0,0.0,-0.06,4.34,0.0
20050224:0510,0.0,0.0,0.0,-0.05,4.41,0.0
20050224:0610,0.0,0.0,0.0,0.03,4.41,0.0
20050224:0710,0.0,0.0,0.0,-0.31,4.34,0.0
20050224:0810,22.05,17.97,9.28,0.2,4.28,0.0
20050224:0910,313.86,126.43,16.99,1.26,6.34,0.0
20050224:1010,203.87,87.98,23.23,1.89,5.59,0.0
20050224:1110,230.08,97.44,27.45,2.36,5.86,0.0
20050224:1210,436.74,169.48,29.17,2.42,5.93,0.0
20050224:1310,294.82,120.14,28.16,2.19,5.72,0.0
20050224:1410,360.99,143.17,24.55,2.19,5.52,0.0
20050224:1510,745.25,274.05,18.78,2.09,5.66,0.0
20050224:1610,239.74,100.53,11.41,1.81,5.52,0.0
20050224:1710,98.34,50.91,2.95,1.46,5.45,0.0
20050224:1810,0.0,0.0,0.0,1.04,5.45,0.0
20050224:1910,0.0,0.0,0.0,0.77,5.52,0.0
20050224:2010,0.0,0.0,0.0,0.26,5.45,0.0
20050224:2110,0.0,0.0,0.0,-0.23,5.52,0.0
20050224:2210,0.0,0.0,0.0,-0.56,5.45,0.0
20050224:2310,0.0,0.0,0.0,-0.77,5.31,0.0
20050225:0010,0.0,0.0,0.0,-1.27,4.9,0.0
20050225:0110,0.0,0.0,0.0,-1.82,4.83,0.0
20050225:0210,0.0,0.0,0.0,-2.12,4.9,0.0
20050225:0310,0.0,0.0,0.0,-2.3,4.9,0.0
20050225:0410,0.0,0.0,0.0,-2.24,4.97,0.0
20050225:0510,0.0,0.0,0.0,-2.32,4.9,0.0
20050225:0610,0.0,0.0,0.0,-2.41,4.69,0.0
20050225:0710,0.0,0.0,0.0,-2.22,4.14,0.0
20050225:0810,89.5,46.4,9.6,-1.82,3.52,0.0
20050225:0910,318.24,127.18,17.33,-0.63,4.55,0.0
20050225:1010,154.94,70.0,23.59,0.41,5.03,0.0
20050225:1110,401.89,156.99,27.82,1.51,5.03,0.0
20050225:1210,725.92,269.13,29.55,2.13,4.83,0.0
20050225:1310,1061.15,387.03,28.52,2.77,5.03,0.0
20050225:1410,75.23,40.68,24.89,3.02,4.55,0.0
20050225:1510,1452.51,532.37,19.1,3.12,4.28,0.0
20050225:1610,1003.87,371.25,11.7,2.83,3.66,0.0
20050225:1710,690.91,278.28,3.22,2.2,2.83,0.0
20050225:1810,0.0,0.0,0.0,0.77,2.48,0.0
20050225:1910,0.0,0.0,0.0,-0.04,2.48,0.0
20050225:2010,0.0,0.0,0.0,-0.51,2.34,0.0
20050225:2110,0.0,0.0,0.0,-0.96,2.34,0.0
20050225:2210,0.0,0.0,0.0,-1.16,2.41,0.0
20050225:2310,0.0,0.0,0.0,-1.08,2.41,0.0
20050226:0010,0.0,0.0,0.0,-1.0,2.34,0.0
20050226:0110,0.0,0.0,0.0,-0.94,2.21,0.0
20050226:0210,0.0,0.0,0.0,-0.86,2.14,0.0
20050226:0310,0.0,0.0,0.0,-0.7,2.21,0.0
20050226:0410,0.0,0.0,0.0,-0.54,2.28,0.0
20050226:0510,0.0,0.0,0.0,-0.16,2.28,0.0
20050226:0610,0.0,0.0,0.0,0.04,2.41,0.0
20050226:0710,0.0,0.0,0.0,0.62,2.76,0.0
20050226:0810,86.72,45.57,9.93,1.14,3.1,0.0
20050226:0910,130.34,61.49,17.67,2.17,4.21,0.0
20050226:1010,522.11,199.42,23.95,3.06,4.48,0.0
20050226:1110,222.82,95.54,28.19,3.9,4.55,0.0
20050226:1210,116.26,56.76,29.92,4.56,4.48,0.0
20050226:1310,76.74,41.62,28.88,5.25,4.62,0.0
20050226:1410,64.93,36.89,25.23,5.31,4.55,0.0
20050226:1510,174.21,78.52,19.42,5.54,4.76,0.0
20050226:1610,113.5,55.81,12.0,4.97,4.28,0.0
20050226:1710,62.94,36.42,3.5,4.43,3.52,0.0
20050226:1810,0.0,0.0,0.0,3.53,3.93,0.0
20050226:1910,0.0,0.0,0.0,2.92,5.52,0.0
20050226:2010,0.0,0.0,0.0,2.26,5.93,0.0
20050226:2110,0.0,0.0,0.0,1.73,5.52,0.0
20050226:2210,0.0,0.0,0.0,1.03,5.03,0.0
20050226:2310,0.0,0.0,0.0,0.19,4.76,0.0
20050227:0010,0.0,0.0,0.0,-0.07,4.97,0.0
20050227:0110,0.0,0.0,0.0,-0.13,5.03,0.0
20050227:0210,0.0,0.0,0.0,-0.43,4.9,0.0
20050227:0310,0.0,0.0,0.0,-0.79,4.76,0.0
20050227:0410,0.0,0.0,0.0,-1.09,4.62,0.0
20050227:0510,0.0,0.0,0.0,-1.37,4.41,0.0
20050227:0610,0.0,0.0,0.0,-1.53,4.28,0.0
20050227:0710,0.0,0.0,0.0,-1.72,4.48,0.0
20050227:0810,202.43,92.19,10.27,-1.22,4.41,0.0
20050227:0910,636.06,237.17,18.02,-0.08,5.59,0.0
20050227:1010,504.06,190.86,24.31,0.88,6.55,0.0
20050227:1110,952.26,345.28,28.57,1.78,6.55,0.0
20050227:1210,1010.21,366.89,30.3,2.48,6.55,0.0
20050227:1310,80.26,42.57,29.25,2.68,6.55,0.0
20050227:1410,2366.27,880.84,25.58,2.97,6.41,0.0
20050227:1510,70.62,38.79,19.74,2.62,5.66,0.0
20050227:1610,732.0,271.39,12.29,2.35,5.45,0.0
20050227:1710,821.15,325.12,3.78,1.55,4.07,0.0
20050227:1810,0.0,0.0,0.0,0.21,3.59,0.0
20050227:1910,0.0,0.0,0.0,-1.16,3.03,0.0
20050227:2010,0.0,0.0,0.0,-1.97,2.9,0.0
20050227:2110,0.0,0.0,0.0,-2.58,2.69,0.0
20050227:2210,0.0,0.0,0.0,-3.11,2.41,0.0
20050227:2310,0.0,0.0,0.0,-3.57,2.21,0.0
20050228:0010,0.0,0.0,0.0,-3.99,2.07,0.0
20050228:0110,0.0,0.0,0.0,-4.36,2.07,0.0
20050228:0210,0.0,0.0,0.0,-4.61,2.14,0.0
20050228:0310,0.0,0.0,0.0,-4.67,2.07,0.0
20050228:0410,0.0,0.0,0.0,-4.8,2.07,0.0
20050228:0510,0.0,0.0,0.0,-4.76,2.14,0.0
20050228:0610,0.0,0.0,0.0,-4.75,2.21,0.0
20050228:0710,0.0,0.0,0.0,-4.38,1.86,0.0
20050228:0810,224.22,100.13,10.6,-3.4,1.52,0.0
20050228:0910,1020.67,378.23,18.37,-1.27,1.66,0.0
20050228:1010,1574.72,582.44,24.68,0.37,2.0,0.0
20050228:1110,1980.35,753.3,28.95,1.2,1.79,0.0
20050228:1210,2269.76,882.74,30.67,1.56,1.93,0.0
20050228:1310,2070.85,789.09,29.61,1.55,2.34,0.0
20050228:1410,704.38,262.68,25.92,1.74,2.69,0.0
20050228:1510,556.03,210.54,20.05,1.68,2.83,0.0
20050228:1610,248.38,103.76,12.59,1.64,3.24,0.0
20050228:1710,84.99,44.93,4.06,1.07,3.1,0.0
20050228:1810,0.0,0.0,0.0,-0.08,3.1,0.0
20050228:1910,0.0,0.0,0.0,-0.25,3.59,0.0
20050228:2010,0.0,0.0,0.0,-0.54,3.79,0.0
20050228:2110,0.0,0.0,0.0,-0.75,3.86,0.0
20050228:2210,0.0,0.0,0.0,-0.81,4.0,0.0
20050228:2310,0.0,0.0,0.0,-0.87,4.07,0.0
20050301:0010,0.0,0.0,0.0,-0.64,4.14,0.0
20050301:0110,0.0,0.0,0.0,-0.48,4.14,0.0
20050301:0210,0.0,0.0,0.0,-0.59,4.07,0.0
20050301:0310,0.0,0.0,0.0,-0.55,4.0,0.0
20050301:0410,0.0,0.0,0.0,-0.38,4.14,0.0
20050301:0510,0.0,0.0,0.0,-0.15,4.07,0.0
20050301:0610,0.0,0.0,0.0,0.02,3.86,0.0
20050301:0710,0.0,0.0,0.0,0.39,3.31,0.0
20050301:0810,26.05,19.87,10.94,0.76,2.69,0.0
20050301:0910,282.18,115.8,18.72,1.99,4.48,0.0
20050301:1010,449.7,174.6,25.05,3.13,4.34,0.0
20050301:1110,428.13,168.15,29.33,4.22,4.28,0.0
20050301:1210,259.01,108.79,31.05,4.54,4.07,0.0
20050301:1310,452.8,177.09,29.98,4.29,3.79,0.0
20050301:1410,183.33,81.35,26.26,3.65,3.17,0.0
20050301:1510,243.74,103.11,20.37,3.55,2.55,0.0
20050301:1610,258.78,108.35,12.88,3.34,1.86,0.0
20050301:1710,182.4,83.68,4.34,3.19,1.45,0.0
20050301:1810,0.0,0.0,0.0,2.72,1.72,0.0
20050301:1910,0.0,0.0,0.0,2.54,1.45,0.0
20050301:2010,0.0,0.0,0.0,2.38,1.38,0.0
20050301:2110,0.0,0.0,0.0,2.17,1.59,0.0
20050301:2210,0.0,0.0,0.0,1.82,1.72,0.0
20050301:2310,0.0,0.0,0.0,1.19,1.86,0.0
20050302:0010,0.0,0.0,0.0,0.51,2.07,0.0
20050302:0110,0.0,0.0,0.0,-0.13,2.14,0.0
20050302:0210,0.0,0.0,0.0,-0.73,2.07,0.0
20050302:0310,0.0,0.0,0.0,-1.65,2.28,0.0
20050302:0410,0.0,0.0,0.0,-2.19,2.41,0.0
20050302:0510,0.0,0.0,0.0,-2.19,2.48,0.0
20050302:0610,0.0,0.0,0.0,-2.0,2.48,0.0
20050302:0710,0.0,0.0,0.0,-1.33,2.62,0.0
20050302:0810,207.2,92.86,11.28,-0.48,3.72,0.0
20050302:0910,165.15,73.79,19.08,0.6,4.0,0.0
20050302:1010,156.64,70.95,25.42,1.51,4.48,0.0
20050302:1110,510.69,195.32,29.71,2.46,4.76,0.0
20050302:1210,82.72,43.52,31.44,2.37,4.48,0.0
20050302:1310,171.74,76.62,30.35,2.27,4.62,0.0
20050302:1410,237.38,100.27,26.61,2.58,3.93,0.0
20050302:1510,387.49,152.77,20.69,2.88,4.55,0.0
20050302:1610,230.62,97.47,13.18,2.19,5.86,0.0
20050302:1710,2.69,7.57,4.61,2.06,6.21,0.0
20050302:1810,0.0,0.0,0.0,1.3,6.34,0.0
20050302:1910,0.0,0.0,0.0,1.02,6.69,0.0
20050302:2010,0.0,0.0,0.0,0.92,7.24,0.0
20050302:2110,0.0,0.0,0.0,0.72,7.38,0.0
20050302:2210,0.0,0.0,0.0,0.15,7.17,0.0
20050302:2310,0.0,0.0,0.0,-0.3,6.9,0.0
20050303:0010,0.0,0.0,0.0,-0.83,6.55,0.0
20050303:0110,0.0,0.0,0.0,-1.24,6.34,0.0
20050303:0210,0.0,0.0,0.0,-1.61,6.21,0.0
20050303:0310,0.0,0.0,0.0,-1.95,6.0,0.0
20050303:0410,0.0,0.0,0.0,-2.17,5.86,0.0
20050303:0510,0.0,0.0,0.0,-2.36,5.79,0.0
20050303:0610,0.0,0.0,0.0,-2.43,5.66,0.0
20050303:0710,0.0,0.0,0.0,-2.2,5.45,0.0
20050303:0810,302.94,130.41,11.63,-1.56,4.48,0.0
20050303:0910,975.62,354.34,19.44,-0.29,6.83,0.0
20050303:1010,1348.48,481.14,25.79,0.9,7.66,0.0
20050303:1110,1464.8,525.75,30.1,1.95,7.45,0.0
20050303:1210,1921.57,700.14,31.82,2.58,6.9,0.0
20050303:1310,1355.46,490.48,30.72,2.87,6.69,0.0
20050303:1410,1617.5,586.61,26.95,3.35,7.03,0.0
20050303:1510,1578.85,573.35,21.01,3.27,6.55,0.0
20050303:1610,1331.87,487.14,13.47,3.05,6.07,0.0
20050303:1710,282.88,120.39,4.89,2.25,4.69,0.0
20050303:1810,0.0,0.0,0.0,0.81,3.93,0.0
20050303:1910,0.0,0.0,0.0,-0.38,3.31,0.0
20050303:2010,0.0,0.0,0.0,-1.39,2.69,0.0
20050303:2110,0.0,0.0,0.0,-2.24,2.28,0.0
20050303:2210,0.0,0.0,0.0,-3.1,1.72,0.0
20050303:2310,0.0,0.0,0.0,-2.96,1.17,0.0
20050304:0010,0.0,0.0,0.0,-3.46,1.38,0.0
20050304:0110,0.0,0.0,0.0,-3.73,1.66,0.0
20050304:0210,0.0,0.0,0.0,-3.63,1.93,0.0
20050304:0310,0.0,0.0,0.0,-3.58,2.34,0.0
20050304:0410,0.0,0.0,0.0,-3.37,2.9,0.0
20050304:0510,0.0,0.0,0.0,-2.87,3.24,0.0
20050304:0610,0.0,0.0,0.0,-2.04,3.66,0.0
20050304:0710,0.0,0.0,0.0,-0.94,4.14,0.0
20050304:0810,119.1,57.35,11.97,-0.05,4.48,0.0
20050304:0910,212.03,90.51,19.8,0.63,4.34,0.0
20050304:1010,158.98,71.89,26.17,1.84,4.28,0.0
20050304:1110,252.29,105.95,30.48,3.96,6.0,0.0
20050304:1210,215.46,93.65,32.21,6.22,6.34,0.0
20050304:1310,691.17,262.17,31.09,7.16,6.34,0.0
20050304:1410,323.49,132.44,27.3,6.67,6.76,0.0
20050304:1510,774.18,288.64,21.33,5.2,5.17,0.0
20050304:1610,146.4,68.11,13.77,4.99,5.03,0.0
20050304:1710,128.93,62.5,5.17,4.18,4.28,0.0
20050304:1810,0.0,0.0,0.0,2.71,4.07,0.0
20050304:1910,0.0,0.0,0.0,1.85,3.72,0.0
20050304:2010,0.0,0.0,0.0,1.26,3.17,0.0
20050304:2110,0.0,0.0,0.0,0.27,2.9,0.0
20050304:2210,0.0,0.0,0.0,-0.48,3.1,0.0
20050304:2310,0.0,0.0,0.0,-0.92,3.24,0.0
20050305:0010,0.0,0.0,0.0,-1.1,3.52,0.0
20050305:0110,0.0,0.0,0.0,-1.14,3.72,0.0
20050305:0210,0.0,0.0,0.0,-1.06,3.86,0.0
20050305:0310,0.0,0.0,0.0,-1.08,3.86,0.0
20050305:0410,0.0,0.0,0.0,-1.13,3.86,0.0
20050305:0510,0.0,0.0,0.0,-1.31,4.0,0.0
20050305:0610,0.0,0.0,0.0,-1.47,4.14,0.0
20050305:0710,0.0,0.0,0.0,-1.2,4.14,0.0
20050305:0810,370.75,157.62,12.32,-0.39,4.41,0.0
20050305:0910,1043.78,383.21,20.17,1.07,4.69,0.0
20050305:1010,1620.03,589.24,26.55,2.49,5.52,0.0
20050305:1110,1823.78,669.54,30.87,3.79,5.93,0.0
20050305:1210,1215.97,443.94,32.59,4.65,6.76,0.0
20050305:1310,749.86,279.51,31.46,4.45,6.34,0.0
20050305:1410,549.09,209.92,27.65,4.61,6.14,0.0
20050305:1510,976.7,359.76,21.65,5.1,5.52,0.0
20050305:1610,189.6,83.99,14.06,5.27,5.24,0.0
20050305:1710,85.02,44.92,5.44,3.99,4.69,0.0
20050305:1810,0.0,0.0,0.0,3.01,4.48,0.0
20050305:1910,0.0,0.0,0.0,1.96,5.1,0.0
20050305:2010,0.0,0.0,0.0,1.29,5.52,0.0
20050305:2110,0.0,0.0,0.0,0.66,5.93,0.0
20050305:2210,0.0,0.0,0.0,0.15,5.93,0.0
20050305:2310,0.0,0.0,0.0,0.02,5.86,0.0
20050306:0010,0.0,0.0,0.0,-0.18,5.72,0.0
20050306:0110,0.0,0.0,0.0,-0.36,5.59,0.0
20050306:0210,0.0,0.0,0.0,-0.49,5.52,0.0
20050306:0310,0.0,0.0,0.0,-0.77,5.31,0.0
20050306:0410,0.0,0.0,0.0,-0.93,4.97,0.0
20050306:0510,0.0,0.0,0.0,-0.92,4.55,0.0
20050306:0610,0.0,0.0,0.0,-0.88,4.0,0.0
20050306:0710,0.0,0.0,0.0,-1.54,3.59,0.0
20050306:0810,375.36,158.22,12.67,-1.14,3.03,0.0
20050306:0910,1046.53,383.28,20.53,0.18,4.14,0.0
20050306:1010,1623.01,589.54,26.93,1.62,5.1,0.0
20050306:1110,1598.34,584.2,31.26,2.49,4.83,0.0
20050306:1210,803.71,297.77,32.98,2.82,4.55,0.0
20050306:1310,454.85,176.91,31.83,3.21,4.28,0.0
20050306:1410,703.01,263.18,27.99,3.34,4.07,0.0
20050306:1510,1174.05,430.57,21.96,3.41,4.0,0.0
20050306:1610,1322.24,488.83,14.35,3.23,4.0,0.0
20050306:1710,701.41,277.24,5.72,2.87,3.45,0.0
20050306:1810,0.0,0.0,0.0,2.29,3.24,0.0
20050306:1910,0.0,0.0,0.0,1.26,2.62,0.0
20050306:2010,0.0,0.0,0.0,0.64,2.48,0.0
20050306:2110,0.0,0.0,0.0,0.31,2.48,0.0
20050306:2210,0.0,0.0,0.0,-0.31,0.0,0.0
20050306:2310,0.0,0.0,0.0,-0.6,0.0,0.0
20050307:0010,0.0,0.0,0.0,-0.54,2.9,0.0
20050307:0110,0.0,0.0,0.0,-0.31,3.03,0.0
20050307:0210,0.0,0.0,0.0,-0.38,2.97,0.0
20050307:0310,0.0,0.0,0.0,-0.46,2.83,0.0
20050307:0410,0.0,0.0,0.0,-0.83,2.76,0.0
20050307:0510,0.0,0.0,0.0,-1.23,2.76,0.0
20050307:0610,0.0,0.0,0.0,-1.43,2.76,0.0
20050307:0710,0.0,0.0,0.0,-0.49,2.97,0.0
20050307:0810,139.49,65.16,13.03,0.62,2.69,0.0
20050307:0910,190.02,83.25,20.9,2.12,3.38,0.0
20050307:1010,233.66,99.33,27.31,3.47,3.79,0.0
20050307:1110,421.31,166.32,31.65,4.95,4.48,0.0
20050307:1210,403.07,160.82,33.37,6.13,4.21,0.0
20050307:1310,714.56,271.78,32.21,6.81,4.0,0.0
20050307:1410,665.79,254.47,28.34,6.9,3.66,0.0
20050307:1510,134.69,64.33,22.28,7.02,3.72,0.0
20050307:1610,92.83,48.24,14.65,6.74,3.1,0.0
20050307:1710,103.71,52.78,6.0,6.09,2.97,0.0
